county_fips,reporting_year,tri_facility_id
17031,2022,6070WQCCLL7315W
17031,2022,60534PLRNC7847W
17001,2022,62305THKNP1848W
17141,2022,61010QLTYM4THAN
17031,2022,60411BHRPR270ST
17111,2022,60081SCTFR8001W
17197,2022,60435SLRND2000N
17177,2022,61032SNDST580NH
17031,2022,60480RWLLC10100
17007,2022,61008BLVDR3000W
17031,2022,6061WSPHLT2835E
17031,2022,60131SCTFR9384B
17031,2022,60090SPCTR140EH
17031,2022,60067RLNGT600SO
17093,2022,60545PLNMTRTE34
17097,2022,60060NRTHF1HUNT
17011,2022,61356SCHLG121WR
17031,2022,6040WNRTHF64CAN
17063,2022,6045WNRTHF34EAS
17105,2022,61739PLLSBROUTE
17197,2022,60517CPNCW1121K
17031,2022,60411MDWST475EA
17201,2022,61115CRTSM9917N
17155,2022,6132WMRQSX7531W
17031,2022,60632LMCST3421W
17097,2022,60064BBTTL1400N
17031,2022,60445MGPLT4704W
17097,2022,60031RQTTC1550N
17031,2022,60650WSTTW5243W
17031,2022,60007THRJS701LA
17031,2022,60062RMCLN2926M
17103,2022,6102WPMRFL11EAS
17031,2022,60610NTYMF1260N
17083,2022,6205WMDLND27128
17063,2022,6045WCSTCM732LI
17031,2022,60411CLMBL400EA
17081,2022,62864GNRLTHWY14
17007,2022,61008MDWSTPOBOX
17031,2022,6013WWSMRQ1144W
17183,2022,61832TMMTC115MA
17031,2022,60426NVRTF16435
17033,2022,62454MRTHNMARAT
17079,2022,6244WSKYLN955EA
17001,2022,62301MDWST4901N
17043,2022,60101MXCLH52WIN
17031,2022,6063WKNNYC531W6
17197,2022,6042WDHSVS9411C
17119,2022,62040HDTMN10NOR
17031,2022,60153CHSPR19THS
17043,2022,60187SPRYNNORTH
17097,2022,60085GLDBN515SE
17031,2022,6063WLSMSK2713N
17201,2022,61104GNTCR302PE
17031,2022,60650KPPRS3900S
17037,2022,60115SMTHH345HA
17031,2022,60007CLRLM1950P
17143,2022,61547CTRPL8826W
17111,2022,60098DRBRP1800W
17135,2022,6204WHLLSB1251N
17055,2022,6286WSGRCM11351
17199,2022,6295WWLLMS16468
17031,2022,60131MRCNS3615W
17031,2022,60608RRSTR2353S
17031,2022,60626SCLCT6601N
17179,2022,6155WMLTXC424WE
17031,2022,60525GMCLC9301W
17001,2022,62301TTNWH2701S
17163,2022,62202CRRCPHWY3A
17031,2022,60160MCHTR1635N
17163,2022,62201THYLPMONSA
17089,2022,60110MCWHR400EA
17195,2022,6107WMTLSP82IND
17113,2022,61738MRCNB211EM
17115,2022,62525STLYM2200E
17163,2022,66201GTWYT4PITZ
17121,2022,6280WHWKNS1CAHI
17163,2022,62239VRTXCEASTC
17097,2022,60089PLXSC2400M
17043,2022,60188CNTNR400EN
17183,2022,61834KRPPG100LY
17183,2022,61832THYSS328EV
17197,2022,60423MTCLF401CE
17031,2022,60473NVRSL16655
17073,2022,6123WPTRTR11PAT
17115,2022,62525MLLRC500WE
17115,2022,62526MLLRC1226E
17053,2022,60936CNTRLRT479
17031,2022,60624CLRCM4242W
17085,2022,61025PHNXC16675
17043,2022,60515BLSML2824H
17043,2022,6050WSPCLT115SF
17043,2022,6010WFCMRC31LNG
17043,2022,60188FTBND485EL
17195,2022,61081STRLN101AV
17033,2022,62454CCRBN12187
17019,2022,61821LLYNG17WWA
17031,2022,60623BLLCT2001S
17043,2022,6012WCHMST934NA
17031,2022,60650GTTND4620R
17091,2022,60901RMSTRRT50N
17031,2022,60007VDJTS1855E
17031,2022,60658CRMLS12840
17031,2022,60131NLSNS9400W
17099,2022,61341MRSLL1401B
17119,2022,6204WGTWYN2585E
17031,2022,60131MPRGL10909
17001,2022,62301PRNCMONEPR
17161,2022,6120WSTLWR43581
17179,2022,61554RCNDSCORNE
17201,2022,6111WZNTHC52ZEN
17089,2022,60123LGLYN1565F
17031,2022,60650CTGPT3737S
17141,2022,6106WNPPNS16RIT
17139,2022,61951HYDRG1411H
17031,2022,60627SCDYN13931
17163,2022,6220WPTRND64CLL
17089,2022,60140LCTRM15NRW
17197,2022,60421STPNCRURAL
17201,2022,61111RCKVL1911W
17031,2022,60131BLMNT3410N
17157,2022,62286SPRTN510EM
17097,2022,60044JSSPM1701R
17031,2022,60623MPRHR1615N
17031,2022,60409CDRCY138TH
17197,2022,60439NCLCR135TH
17031,2022,60608MPRHR1537S
17055,2022,62812STHRN45EIL
17089,2022,60101STYDC450SL
17045,2022,6194WGSGRP13217
17031,2022,60104DLTRL3001G
17197,2022,60565BTTRY31W23
17177,2022,61032NCHRH600WE
17021,2022,6256WGSGRP24SSP
17031,2022,60608LSTMR2448W
17021,2022,62510GSGRP14EIL
17097,2022,60031MZRCH3938P
17021,2022,62540KNCDG4MILE
17115,2022,62526DMMSN2100N
17045,2022,6194WGSFCL13111
17001,2022,6230WHBRNG17TUR
17201,2022,61104VKNGC1827E
17097,2022,60064THGLL3500W
17031,2022,6013WJSTMN9233K
17197,2022,60436CLBNC3001C
17019,2022,61821HDSNT342NM
17043,2022,60517CHMPN1840I
17089,2022,60510DYNTR1333N
17119,2022,62084SHLLLRTE11
17089,2022,60505RCKTR705NF
17201,2022,6111WTRDMN1914N
17031,2022,60609TTSNS4545S
17031,2022,60501CRNPR6400A
17031,2022,60609CLNRY4201S
17123,2022,6136WJNMTF31W3R
17001,2022,62306QNCYS1900G
17197,2022,60401DNTCH449WC
17031,2022,60406GWLCT3500W
17177,2022,61048KLBLN3990N
17197,2022,6044WGWLCT35WES
17007,2022,61012CPRNM200BU
17001,2022,62301QDMMR3400W
17031,2022,60409SHLND142ND
17089,2022,60174CTSSC2445P
17031,2022,60164GNRLP135WL
17091,2022,60907GNRLP3200F
17031,2022,60409DYNGLPLUMM
17043,2022,60185GRFFN1920D
17031,2022,60638RSPCK4900S
17031,2022,60007MRTNC2401E
17177,2022,6103WTRSTR611WL
17031,2022,60426LLDTB16100
17025,2022,62839MNWXC14IND
17091,2022,60901THVLS901NO
17031,2022,60430CCRTD1111M
17031,2022,60007FLDCN1500N
17111,2022,60152THVLS1400N
17201,2022,61109SHRWN4472T
17031,2022,60443CHRDW21901
17031,2022,60090NTRPR1991W
17031,2022,60473MCWHR192W1
17201,2022,61108THVLS200SA
17031,2022,60628SHRWN11541
17161,2022,61265MLNPN54002
17031,2022,60411WNSLL12THA
17031,2022,60005MBLLD2312T
17161,2022,61265THGRG12137
17111,2022,60072MRTNT5005B
17031,2022,60195SMNSG2501B
17031,2022,6042WSTRLN51E15
17031,2022,60007PRFNS2300E
17031,2022,60609MNLYL4435S
17197,2022,60435CPNRG10IND
17031,2022,60134PRKNS7025W
17043,2022,60185DVNCD711WI
17031,2022,60633PVSCH12260
17099,2022,61354MRCNNWESTM
17197,2022,60441MBLLL12909
17201,2022,61080PRCBR4416P
17089,2022,6054WBRWSD951IC
17177,2022,61032MCRSWWALNU
17177,2022,61032MCRSW323ES
17099,2022,6134WDMMLL34EAS
17199,2022,62959LNCRPRTE14
17031,2022,60633LFRGN2150E
17001,2022,62301MRMNM1000N
17043,2022,6050WNGNRD3847E
17199,2022,62959LNCRPWOLFC
17031,2022,60658CLBRT3737W
17201,2022,61132PFTRM1351W
17197,2022,6044WLNRDD59TER
17031,2022,60007MGNTC1401G
17031,2022,60131HNTRP9201B
17043,2022,60188DVSML350EK
17063,2022,6045WXSBLL6155E
17163,2022,62221MRSHC1MARS
17197,2022,6046WCNTNN24WES
17031,2022,60629KTLCD4099W
17031,2022,60617HRSHD2701E
17031,2022,60628MSRYC1140E
17097,2022,60087WKGNG10GRE
17199,2022,6295WRCXXX17217
17031,2022,60419BLLGL13850
17179,2022,61550MRTNW7CMME
17031,2022,60090CMMRC1444S
17197,2022,60440QNTMF750SS
17179,2022,6155WBRDLY231DB
17019,2022,61820CLFFRNORTH
17031,2022,60103FLXNC300ED
17031,2022,60426MTLLB17050
17031,2022,60622SPMTL1720E
17197,2022,60436STNGC125CN
17099,2022,61342CNTNN1STAV
17031,2022,60629NBSCB7300S
17089,2022,60538RRNDS1002G
17031,2022,60120HNKLD1345G
17197,2022,60435RHCHMINDUS
17197,2022,60441WLLCN529ER
17197,2022,6044WLDCST78SMA
