GEOID,RPL_EBM
17097861201,0.5208
17099961702,0.6767
17099963500,0.5766
17099963600,0.7512
17099964200,0.6213
17101881000,0.533
17103000500,0.3597
17103000900,0.2532
17105961000,0.6634
17109010900,0.2387
17113005502,0.2487
17113006000,0.5158
17115001000,0.8661
17115001100,0.9452
17115002401,0.5961
17115002402,0.558
17119400802,0.8461
17119401800,0.9143
17119402805,0.3218
17031822701,0.5569
17031822702,0.365
17031822801,0.452
17031822900,0.8226
17031823101,0.6853
17031823703,0.713
17031824105,0.2514
17031824113,0.1971
17031824129,0.4902
17031826201,0.6122
17031827400,0.6137
17031827600,0.7328
17031828507,0.5685
17031835000,0.7598
17031836300,0.4885
17031839100,0.905
17031839900,0.9421
17037000700,0.4983
17041952400,0.6592
17043840104,0.6746
17031816900,0.9384
17031818100,0.9574
17031819700,0.8345
17031820203,0.8711
17031821300,0.8215
17031821401,0.6119
17031821402,0.7344
17031823002,0.7285
17031823604,0.4557
17031823605,0.6901
17031823805,0.5917
17031824701,0.7061
17031824702,0.5703
17031828602,0.5845
17031828801,0.377
17031829800,0.2482
17031829904,0.5684
17031830005,0.3587
17031831200,0.8777
17031831400,0.9189
17031804404,0.3771
17031804508,0.6616
17031804514,0.8875
17031804711,0.2295
17031804712,0.2273
17031804805,0.2686
17031805600,0.6413
17031806502,0.9293
17031806900,0.4781
17031808400,0.8967
17031809401,0.6773
17031809402,0.68
17031809600,0.7086
17031812100,0.6419
17031815000,0.604
17031816401,0.9384
17031816500,0.9546
17031817900,0.9148
17031821200,0.5994
17031823302,0.9206
17031823602,0.7013
17089851101,0.6501
17089851908,0.2821
17089852300,0.7723
17007010400,0.923
17011964900,0.335
17015960600,0.3389
17019001100,0.4598
17019005401,0.8097
17019005602,0.0264
17019006000,0.1454
17019010100,0.5633
17019010204,0.6202
17019011100,0.659
17029000800,0.0332
17031010501,0.7664
17031020701,0.4499
17031020902,0.901
17031030104,0.7881
17031030706,0.7229
17031031100,0.9006
17031031200,0.7528
17031040700,0.6545
17031060100,0.6296
17031061800,0.733
17031063200,0.6944
17043841705,0.3352
17043841802,0.5832
17043845602,0.4668
17043846205,0.4055
17043846413,0.727
17043846519,0.5484
17045070200,0.2338
17051951100,0.3709
17075950300,0.3799
17077010300,0.3706
17077010800,0.7166
17081050500,0.2362
17081051000,0.6677
17109010401,0.2875
17109980000,0.4546
17111870502,0.2919
17113000400,0.4138
17113005201,0.5236
17117956800,0.1582
17117957100,0.5055
17117957200,0.1961
17119400102,0.9911
17119401300,0.9108
17119402000,0.6648
17119402801,0.3259
17119402803,0.7396
17133600102,0.8554
17133600502,0.4593
17141961302,0.6497
17143002600,0.7178
17143003403,0.5596
17145030500,0.3194
17163503211,0.4717
17167001004,0.0686
17167001300,0.5405
17167001400,0.7849
17167003000,0.3429
17173959100,0.3323
17179020400,0.6623
17179021603,0.5292
17183000600,0.5461
17183000700,0.415
17183011000,0.5861
17185957400,0.2987
17189950200,0.3497
17195000400,0.3842
17197880204,0.6839
17197880324,0.3844
17197880425,0.2767
17197880503,0.2723
17197881105,0.4801
17197881107,0.5919
17197881302,0.918
17031711200,0.7856
17031730600,0.7323
17031770300,0.9403
17031800100,0.4001
17031801200,0.6123
17031801607,0.4902
17031802004,0.6511
17031802701,0.6764
17031802900,0.4433
17031803016,0.3781
17031803605,0.5089
17031803614,0.3762
17031804204,0.4968
17031804808,0.32
17031804901,0.8133
17031806202,0.8793
17031806300,0.9442
17031807600,0.9011
17031810301,0.892
17031840000,0.9269
17031840400,0.9289
17037001004,0.1137
17037001300,0.8879
17043840600,0.9229
17043840801,0.9802
17043840901,0.6927
17043840907,0.4893
17043841503,0.9068
17043842400,0.4798
17043844001,0.8404
17043844307,0.3919
17043844601,0.7782
17043845300,0.6904
17043846307,0.4819
17043846310,0.2585
17043846404,0.6928
17043846410,0.6703
17043846511,0.4525
17045070100,0.477
17049950300,0.3008
17029001000,0.4585
17031010202,0.7081
17031030200,0.8977
17031040800,0.6466
17031051400,0.9266
17031070400,0.7974
17031080400,0.7888
17031110100,0.8577
17031150800,0.9005
17031210501,0.8574
17031221100,0.8127
17031222600,0.6942
17031230700,0.866
17031230800,0.8857
17031243500,0.9022
17031250400,0.8492
17031260400,0.9612
17031283800,0.821
17031301200,0.9515
17031310700,0.8212
17031340300,0.924
17031351500,0.9024
17031390200,0.4981
17031420100,0.5819
17031420700,0.7701
17031420800,0.7291
17031430101,0.5207
17031431301,0.8084
17031440101,0.8185
17031460302,0.8048
17031490901,0.8333
17031500100,0.9566
17031510100,0.9762
17031520400,0.9036
17031612000,0.9723
17031811200,0.9177
17031812700,0.6134
17031815200,0.8001
17031815702,0.8362
17031251700,0.9145
17031252201,0.9214
17031260500,0.9582
17031300600,0.8771
17031300900,0.9614
17031301701,0.8063
17031301702,0.8615
17031380600,0.9074
17031381900,0.5062
17031430200,0.6869
17031430300,0.7122
17031431400,0.7099
17031491300,0.7988
17031540102,0.9148
17031560800,0.9888
17031620400,0.9897
17031640300,0.9829
17031660302,0.897
17031660700,0.8214
17031670800,0.7491
17031671500,0.8663
17031680500,0.8507
17031681000,0.709
17031711000,0.8543
17031150502,0.6135
17031160400,0.9295
17031160900,0.954
17031220300,0.9568
17031220701,0.8682
