# Normalized state race totals, 1790-1990 — parse target for censusStateDecades.
#
# SOURCE (public domain, 17 U.S.C. §105):
#   U.S. Census Bureau, Population Division Working Paper No. 56 (twps0056),
#   Gibson & Jung (2002), Tables 15–65 (one sheet per state / D.C.).
#   Landing page: https://www.census.gov/library/working-papers/2002/demo/POP-twps0056.html
#   Machine artifact: https://www2.census.gov/library/working-papers/2002/demo/pop-twps0056/tabs15-65.xlsx
#
# DERIVATION: NUMBER block, first main decade row only (skip Sample / 15% / 5% subrows).
#   Not every state appears every decade (admission / coverage). Free/Slave columns only when
#   they reconstitute Black within ±5. State Black sums per decade equal the committed national
#   CSV exactly (validated by packages/firebase/scripts/derive-twps0056-state.py).
#
# Columns: stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
35,New Mexico,1920,360350,5733,,
35,New Mexico,1930,423317,2850,,
35,New Mexico,1940,531818,4672,,
35,New Mexico,1950,681187,8408,,
35,New Mexico,1960,951023,17063,,
35,New Mexico,1970,1016000,19555,,
35,New Mexico,1980,1302894,24020,,
35,New Mexico,1990,1515069,30210,,
36,New York,1790,340120,25978,4654,21324
36,New York,1800,589051,31320,10417,20903
36,New York,1810,959049,40350,25333,15017
36,New York,1820,1372812,39367,29279,10088
36,New York,1830,1918608,44945,44870,75
36,New York,1840,2428921,50031,50027,4
36,New York,1850,3097394,49069,,
36,New York,1860,3880735,49005,,
36,New York,1870,4382759,52081,,
36,New York,1880,5082871,65104,,
36,New York,1890,6003174,70092,,
36,New York,1900,7268894,99232,,
36,New York,1910,9113614,134191,,
36,New York,1920,10385227,198483,,
36,New York,1930,12588066,412814,,
36,New York,1940,13479142,571221,,
36,New York,1950,14830192,918191,,
36,New York,1960,16782304,1417511,,
36,New York,1970,18236967,2168949,,
36,New York,1980,17558072,2402006,,
36,New York,1990,17990455,2859055,,
37,North Carolina,1790,393751,105547,4975,100572
37,North Carolina,1800,478103,140339,7043,133296
37,North Carolina,1810,556526,179152,10268,168884
37,North Carolina,1820,638829,219629,14712,204917
37,North Carolina,1830,737987,265144,19543,245601
37,North Carolina,1840,753419,268549,22732,245817
37,North Carolina,1850,869039,316011,27463,288548
37,North Carolina,1860,992622,361522,30463,331059
37,North Carolina,1870,1071361,391650,,
37,North Carolina,1880,1399750,531277,,
37,North Carolina,1890,1617949,561018,,
37,North Carolina,1900,1893810,624469,,
37,North Carolina,1910,2206287,697843,,
37,North Carolina,1920,2559123,763407,,
37,North Carolina,1930,3170276,918647,,
37,North Carolina,1940,3571623,981298,,
37,North Carolina,1950,4061929,1047353,,
37,North Carolina,1960,4556155,1116021,,
37,North Carolina,1970,5082059,1126478,,
37,North Carolina,1980,5881766,1318857,,
37,North Carolina,1990,6628637,1456323,,
38,North Dakota,1870,2405,24,,
38,North Dakota,1880,36909,113,,
38,North Dakota,1890,190983,373,,
38,North Dakota,1900,319146,286,,
38,North Dakota,1910,577056,617,,
38,North Dakota,1920,646872,467,,
38,North Dakota,1930,680845,377,,
38,North Dakota,1940,641935,201,,
38,North Dakota,1950,619636,257,,
38,North Dakota,1960,632446,777,,
38,North Dakota,1970,617761,2494,,
38,North Dakota,1980,652717,2568,,
38,North Dakota,1990,638800,3524,,
39,Ohio,1800,42159,198,,
39,Ohio,1810,230760,1899,,
39,Ohio,1820,581434,4723,,
39,Ohio,1830,937903,9574,9568,6
39,Ohio,1840,1519467,17345,17342,3
